City,State,Latitude,Longitude,Population
Chicago,Illinois,41.8373,-87.6862,8604203
Washington,District of Columbia,38.9047,-77.0163,5379184
Denver,Colorado,39.7621,-104.8759,2876625
Baltimore,Maryland,39.3051,-76.6144,2106068
St. Louis,Missouri,38.6358,-90.2451,2024074
Providence,Rhode Island,41.823,-71.4187,1203230
Jacksonville,Florida,30.3322,-81.6749,1181496
Memphis,Tennessee,35.1046,-89.9773,1066967
Raleigh,North Carolina,35.8325,-78.6435,1038738
New Orleans,Louisiana,30.0687,-89.9288,1020886
